Datetime,open,high,low,close,volume
2026-06-23 00:00:00+00:00,63931.53125,63944.7109375,63923.37109375,63944.7109375,0
2026-06-23 00:01:00+00:00,63920.53125,63941.1484375,63905.55859375,63905.55859375,0
2026-06-23 00:02:00+00:00,63894.87890625,63926.91015625,63887.76171875,63914.1484375,1458176
2026-06-23 00:03:00+00:00,63910.96875,63944.71875,63910.94140625,63926.91015625,0
2026-06-23 00:04:00+00:00,63934.890625,63948.109375,63929.0,63948.109375,2074624
2026-06-23 00:05:00+00:00,63950.58984375,63950.58984375,63919.80078125,63938.1484375,0
2026-06-23 00:06:00+00:00,63955.390625,63955.390625,63908.6796875,63908.6796875,0
2026-06-23 00:07:00+00:00,63912.359375,63919.62890625,63885.98046875,63901.98828125,0
2026-06-23 00:08:00+00:00,63897.58984375,63897.58984375,63855.73046875,63855.73046875,0
2026-06-23 00:09:00+00:00,63853.37109375,63879.01953125,63853.37109375,63875.78125,150159360
2026-06-23 00:10:00+00:00,63875.78125,63875.78125,63853.98828125,63862.83984375,0
2026-06-23 00:11:00+00:00,63855.8515625,63858.6015625,63843.01171875,63849.69140625,0
2026-06-23 00:12:00+00:00,63842.01171875,63848.96875,63814.171875,63843.26953125,0
2026-06-23 00:13:00+00:00,63882.78125,63882.78125,63853.80078125,63855.66015625,0
2026-06-23 00:14:00+00:00,63867.98828125,63887.28125,63837.921875,63887.28125,0
2026-06-23 00:15:00+00:00,63888.23828125,63926.03125,63888.23828125,63926.03125,0
2026-06-23 00:16:00+00:00,63926.01171875,63926.01171875,63855.12890625,63855.12890625,0
2026-06-23 00:17:00+00:00,63855.12890625,63876.19921875,63845.609375,63866.3984375,4542464
2026-06-23 00:18:00+00:00,63855.71875,63855.71875,63842.05859375,63853.3203125,0
2026-06-23 00:19:00+00:00,63846.73046875,63849.87109375,63823.6015625,63828.46875,76750848
2026-06-23 00:20:00+00:00,63822.5703125,63825.28125,63795.19921875,63795.19921875,0
2026-06-23 00:21:00+00:00,63795.19921875,63805.87890625,63777.01171875,63800.0,0
2026-06-23 00:22:00+00:00,63800.0,63826.0,63784.53125,63794.76953125,23814144
2026-06-23 00:23:00+00:00,63795.19921875,63805.87890625,63792.75,63800.26171875,0
2026-06-23 00:24:00+00:00,63795.6015625,63799.98046875,63783.98046875,63791.640625,0
2026-06-23 00:25:00+00:00,63801.96875,63821.98828125,63784.51953125,63785.21875,0
2026-06-23 00:26:00+00:00,63798.87109375,63805.87109375,63785.91015625,63798.37109375,0
2026-06-23 00:27:00+00:00,63798.37890625,63827.23046875,63798.37890625,63807.0703125,53268480
2026-06-23 00:28:00+00:00,63807.0703125,63807.0703125,63757.1015625,63762.0390625,0
2026-06-23 00:29:00+00:00,63770.26953125,63795.19140625,63770.26953125,63783.98828125,220248064
2026-06-23 00:30:00+00:00,63794.94921875,63825.98828125,63791.6015625,63824.9609375,0
2026-06-23 00:31:00+00:00,63837.98828125,63919.44921875,63835.078125,63884.19921875,0
2026-06-23 00:32:00+00:00,63894.51171875,63920.01171875,63883.83984375,63920.01171875,0
2026-06-23 00:33:00+00:00,63920.01953125,63946.109375,63920.01953125,63944.7109375,0
2026-06-23 00:34:00+00:00,63937.609375,63948.26953125,63916.23828125,63930.48046875,4233216
2026-06-23 00:35:00+00:00,63923.359375,63929.01953125,63905.55859375,63912.6796875,0
2026-06-23 00:36:00+00:00,63916.80078125,63916.80078125,63900.12109375,63902.01953125,0
2026-06-23 00:37:00+00:00,63900.12109375,63908.96875,63887.76171875,63908.96875,0
2026-06-23 00:38:00+00:00,63912.671875,63932.33984375,63884.19921875,63932.33984375,0
2026-06-23 00:39:00+00:00,63920.6484375,63939.5,63920.6484375,63934.0,7782400
2026-06-23 00:40:00+00:00,63934.0,63946.01953125,63926.01171875,63938.98046875,0
2026-06-23 00:41:00+00:00,63929.390625,63950.01171875,63929.390625,63950.01171875,0
2026-06-23 00:42:00+00:00,63954.01171875,63958.94921875,63938.359375,63955.8515625,0
2026-06-23 00:43:00+00:00,63958.9609375,63998.8984375,63951.83984375,63991.0390625,0
2026-06-23 00:44:00+00:00,63991.03125,64034.921875,63991.03125,64032.0,0
2026-06-23 00:45:00+00:00,64036.78125,64041.96875,64023.03125,64038.640625,0
2026-06-23 00:46:00+00:00,64040.828125,64044.98828125,63986.28125,63986.28125,0
2026-06-23 00:47:00+00:00,63980.3203125,63987.44921875,63972.01171875,63983.6484375,0
2026-06-23 00:48:00+00:00,63983.640625,64012.3515625,63970.4609375,64001.6796875,0
2026-06-23 00:49:00+00:00,64001.69140625,64033.421875,64001.19921875,64033.421875,108908544
2026-06-23 00:50:00+00:00,64020.0,64041.9609375,64020.0,64022.16015625,0
2026-06-23 00:51:00+00:00,64029.3984375,64030.16015625,64019.48046875,64019.48046875,0
2026-06-23 00:52:00+00:00,64019.48046875,64032.96875,64019.48046875,64023.51953125,0
2026-06-23 00:53:00+00:00,64023.51953125,64044.390625,64019.51953125,64044.390625,0
2026-06-23 00:54:00+00:00,64044.3984375,64083.69140625,64019.48046875,64019.48046875,233799680
2026-06-23 00:55:00+00:00,64015.01171875,64039.1484375,64015.01171875,64039.1484375,0
2026-06-23 00:56:00+00:00,64034.66015625,64037.2890625,64019.48828125,64026.94140625,0
2026-06-23 00:57:00+00:00,64026.9296875,64029.640625,64015.87890625,64029.640625,0
2026-06-23 00:58:00+00:00,64025.83984375,64040.828125,64019.48046875,64030.1484375,0
2026-06-23 00:59:00+00:00,64039.91015625,64081.1015625,64039.91015625,64069.328125,0
2026-06-23 01:00:00+00:00,64087.109375,64120.30078125,64063.30078125,64109.421875,0
2026-06-23 01:01:00+00:00,64148.30859375,64182.30078125,64129.83984375,64158.3203125,12482560
2026-06-23 01:02:00+00:00,64165.51953125,64192.30078125,64112.0390625,64112.0390625,0
2026-06-23 01:03:00+00:00,64118.8984375,64144.12109375,64112.390625,64128.01171875,0
2026-06-23 01:04:00+00:00,64137.01953125,64144.01953125,64121.19921875,64129.828125,0
2026-06-23 01:05:00+00:00,64127.21875,64127.21875,64110.87890625,64125.66015625,0
2026-06-23 01:06:00+00:00,64132.0,64132.0,64097.80859375,64097.80859375,0
2026-06-23 01:07:00+00:00,64098.828125,64136.94921875,64098.76953125,64134.51953125,0
2026-06-23 01:08:00+00:00,64159.98828125,64169.98828125,64151.19921875,64151.19921875,0
2026-06-23 01:09:00+00:00,64161.87109375,64176.80078125,64119.16015625,64119.16015625,0
2026-06-23 01:10:00+00:00,64166.76171875,64191.23046875,64152.62109375,64173.9609375,0
2026-06-23 01:11:00+00:00,64183.23046875,64189.44140625,64176.80078125,64180.94140625,112062464
2026-06-23 01:12:00+00:00,64183.1484375,64190.48828125,64165.44140625,64183.23828125,0
2026-06-23 01:13:00+00:00,64176.12109375,64176.12109375,64150.109375,64155.0,0
2026-06-23 01:14:00+00:00,64155.0,64158.921875,64140.51953125,64144.19921875,180553728
2026-06-23 01:15:00+00:00,64140.5390625,64155.73046875,64140.53125,64140.5390625,0
2026-06-23 01:16:00+00:00,64153.76953125,64153.76953125,64135.0,64151.9296875,0
2026-06-23 01:17:00+00:00,64151.94140625,64160.140625,64138.0,64143.96875,0
