Date,rsi_1d,macd_pct_1d,ema_cross_1d,atr_pct_1d,ret_1,ret_5,smc_bias_1d,zone_dist_atr,at_zone,high,low,close,label,label_bars
2018-01-08,0.8070081112368244,10.888061762383384,1.0,8.233461295372942,-0.0040318206423908,0.176475587282896,1,2.819113961599262,0,1266.9300537109375,1016.0499877929688,1148.530029296875,1,2
2018-01-09,0.8503086703114014,11.016634513869688,1.0,7.720330227320918,0.1236813476098577,0.2814265732192504,1,4.163628191487313,0,1320.97998046875,1145.489990234375,1299.739990234375,0,2
2018-01-10,0.7945463625248904,12.124392078993464,1.0,8.504716011977969,-0.0343755340469824,0.2300713354256967,1,3.5005829034614284,0,1417.3800048828125,1226.5999755859375,1255.8199462890625,0,1
2018-01-11,0.6836389645111748,12.95191817107359,1.0,9.837212716720934,-0.0837489203219972,0.1032049365821476,1,2.402773111513207,0,1337.300048828125,1135.1700439453125,1154.9300537109375,1,2
2018-01-12,0.7310355817877798,12.191313883730324,1.0,9.273137292425552,0.0974935954927662,0.0990186680912534,1,3.3138869361500265,0,1296.0400390625,1120.0899658203125,1273.199951171875,0,4
2018-01-13,0.769741091781414,12.008901208479712,1.0,8.681702977191094,0.0923784720847535,0.1954289608183979,1,4.243695216853344,0,1432.8800048828125,1270.469970703125,1396.4200439453125,0,3
2018-01-14,0.7420684796461621,12.671641104188485,1.0,8.834068645583631,-0.0214615439297878,0.0502860692787523,1,4.015408490932622,0,1400.56005859375,1286.2099609375,1366.77001953125,0,2
2018-01-15,0.6759987307731086,13.12424114349716,1.0,9.23115626479274,-0.0563207882758742,0.0283408150498605,1,3.437690495589332,0,1390.5899658203125,1290.5999755859375,1291.9200439453125,0,1
2018-01-16,0.5179374090332493,13.834094178041658,1.0,13.337171452739296,-0.2038312843512963,-0.0917415489794386,1,1.2221091367384482,0,1292.6300048828125,875.5449829101562,1053.68994140625,0,1
2018-01-17,0.4972100516641684,12.060648578957403,1.0,15.044400339811222,-0.0381488104984644,-0.2273839549706693,1,0.8670811419643044,0,1090.22998046875,780.9219970703125,1014.25,0,10
2018-01-18,0.5090291902416858,10.066893709436435,1.0,14.586466029613057,0.0214879827579075,-0.2982744442975154,1,1.0210339766887002,0,1100.31005859375,967.7589721679688,1036.280029296875,0,10
2018-01-19,0.5106150336705555,8.589325745809665,1.0,14.123116466093782,0.0027175245187445,-0.274095375848983,1,1.070885670890267,0,1093.219970703125,1003.7100219726562,1039.0999755859375,0,10
2018-01-20,0.5718981588944511,7.41769560119991,1.0,12.58836430336191,0.1058752964251317,-0.111899291147977,1,1.8788089718092056,0,1167.1099853515625,1044.949951171875,1155.1500244140625,0,2
