Datetime,open,high,low,close,volume
2023-07-31 08:00:00-04:00,15773.576171875,15801.90625,15710.6787109375,15758.4873046875,182070228
2023-07-31 12:00:00-04:00,15756.9736328125,15759.275390625,15702.951171875,15759.0380859375,302859866
2023-08-01 08:00:00-04:00,15695.1591796875,15736.109375,15637.5078125,15699.4912109375,190305856
2023-08-01 12:00:00-04:00,15697.8603515625,15748.4267578125,15684.6103515625,15718.5,278216300
2023-08-02 08:00:00-04:00,15558.8935546875,15560.7880859375,15321.4375,15335.5947265625,278464277
2023-08-02 12:00:00-04:00,15335.23046875,15419.4951171875,15331.64453125,15374.228515625,380929768
2023-08-03 08:00:00-04:00,15286.1982421875,15396.2744140625,15270.72265625,15387.841796875,425026727
2023-08-03 12:00:00-04:00,15389.0126953125,15436.3701171875,15334.650390625,15351.6611328125,343269057
2023-08-04 08:00:00-04:00,15430.89453125,15505.7314453125,15316.541015625,15505.08203125,247810635
2023-08-04 12:00:00-04:00,15507.4697265625,15523.314453125,15259.0673828125,15275.5625,435587558
2023-08-07 08:00:00-04:00,15355.7138671875,15384.4541015625,15259.357421875,15339.599609375,218534702
2023-08-07 12:00:00-04:00,15340.720703125,15410.853515625,15313.615234375,15408.625,335640129
2023-08-08 08:00:00-04:00,15283.052734375,15294.25,15148.763671875,15191.9091796875,221912503
2023-08-08 12:00:00-04:00,15192.1728515625,15291.15234375,15181.3701171875,15273.75390625,350933726
2023-08-09 08:00:00-04:00,15285.431640625,15288.5986328125,15078.0009765625,15125.857421875,219447463
2023-08-09 12:00:00-04:00,15124.63671875,15229.3056640625,15093.51171875,15105.6416015625,317853238
2023-08-10 08:00:00-04:00,15217.181640625,15366.287109375,15132.8935546875,15160.4189453125,219699398
2023-08-10 12:00:00-04:00,15161.21875,15207.732421875,15072.5390625,15129.794921875,301839375
2023-08-11 08:00:00-04:00,15011.734375,15099.70703125,14974.068359375,15014.6953125,178393091
2023-08-11 12:00:00-04:00,15015.4580078125,15066.580078125,14985.931640625,15029.9453125,289829439
2023-08-14 08:00:00-04:00,14984.5390625,15176.978515625,14972.111328125,15123.6943359375,373180364
2023-08-14 12:00:00-04:00,15123.296875,15205.8916015625,15115.498046875,15205.8916015625,267192897
2023-08-15 08:00:00-04:00,15170.1005859375,15192.7265625,15047.908203125,15117.822265625,163910580
2023-08-15 12:00:00-04:00,15118.796875,15120.517578125,15014.365234375,15041.0244140625,266538939
2023-08-16 08:00:00-04:00,15018.77734375,15076.3896484375,14944.814453125,14947.638671875,341198236
2023-08-16 12:00:00-04:00,14947.892578125,15017.1318359375,14874.0234375,14876.7119140625,296671263
2023-08-17 08:00:00-04:00,14944.0166015625,14948.630859375,14801.9052734375,14878.9013671875,202636302
2023-08-17 12:00:00-04:00,14879.25,14895.23046875,14698.6650390625,14714.16015625,336389531
2023-08-18 08:00:00-04:00,14583.88671875,14693.4306640625,14558.6923828125,14654.8466796875,432583814
2023-08-18 12:00:00-04:00,14654.685546875,14744.14453125,14616.7431640625,14695.111328125,322041786
2023-08-21 08:00:00-04:00,14764.654296875,14878.7392578125,14740.3037109375,14821.28125,182263145
2023-08-21 12:00:00-04:00,14821.455078125,14958.7060546875,14815.5703125,14936.7783203125,322709264
2023-08-22 08:00:00-04:00,15033.7373046875,15037.16796875,14885.3701171875,14911.619140625,190216456
2023-08-22 12:00:00-04:00,14911.5673828125,14956.46875,14884.3447265625,14909.833984375,295971929
2023-08-23 08:00:00-04:00,14952.306640625,15151.6982421875,14952.306640625,15124.29296875,185034868
2023-08-23 12:00:00-04:00,15124.3134765625,15188.7705078125,15119.7001953125,15147.7685546875,309240265
2023-08-24 08:00:00-04:00,15271.162109375,15271.162109375,14905.1376953125,14951.5703125,451582152
2023-08-24 12:00:00-04:00,14951.8603515625,14993.8173828125,14814.833984375,14815.9375,352315887
2023-08-25 08:00:00-04:00,14861.3037109375,15001.1728515625,14715.361328125,14837.8564453125,235358055
2023-08-25 12:00:00-04:00,14839.0390625,14982.986328125,14800.755859375,14939.5888671875,306036365
2023-08-28 08:00:00-04:00,15034.310546875,15085.572265625,14948.923828125,14967.203125,161019653
2023-08-28 12:00:00-04:00,14967.142578125,15069.162109375,14960.9208984375,15054.447265625,266150838
2023-08-29 08:00:00-04:00,15044.181640625,15349.9853515625,15035.248046875,15345.3642578125,414257800
2023-08-29 12:00:00-04:00,15345.662109375,15391.537109375,15318.6865234375,15380.140625,298289876
2023-08-30 08:00:00-04:00,15379.7255859375,15478.9150390625,15343.1708984375,15472.3056640625,182358006
2023-08-30 12:00:00-04:00,15473.2314453125,15484.826171875,15416.5302734375,15462.93359375,288207030
2023-08-31 08:00:00-04:00,15475.330078125,15574.53125,15475.154296875,15503.0380859375,180884177
2023-08-31 12:00:00-04:00,15503.046875,15562.5400390625,15466.46875,15505.5146484375,313974531
2023-09-01 08:00:00-04:00,15597.921875,15616.4970703125,15429.6533203125,15470.2822265625,206034097
2023-09-01 12:00:00-04:00,15469.9775390625,15496.564453125,15433.544921875,15488.8984375,311674596
2023-09-05 08:00:00-04:00,15461.7421875,15546.9033203125,15420.1953125,15515.16015625,206169913
2023-09-05 12:00:00-04:00,15515.5849609375,15556.6298828125,15498.818359375,15506.0908203125,309319323
2023-09-06 08:00:00-04:00,15467.2265625,15486.6328125,15315.771484375,15316.142578125,190008679
2023-09-06 12:00:00-04:00,15316.7529296875,15379.15234375,15289.7138671875,15373.880859375,328626577
2023-09-07 08:00:00-04:00,15174.4384765625,15264.7138671875,15140.3515625,15247.0234375,224318923
2023-09-07 12:00:00-04:00,15247.0517578125,15278.95703125,15219.2802734375,15260.857421875,343246004
2023-09-08 08:00:00-04:00,15268.2763671875,15373.1748046875,15267.900390625,15326.763671875,199946832
2023-09-08 12:00:00-04:00,15326.125,15327.169921875,15244.0615234375,15281.8935546875,314709976
2023-09-11 08:00:00-04:00,15409.8798828125,15432.52734375,15329.37890625,15385.2216796875,214890927
2023-09-11 12:00:00-04:00,15387.1025390625,15482.5595703125,15366.1865234375,15463.2314453125,342437538
2023-09-12 08:00:00-04:00,15388.572265625,15447.6103515625,15316.54296875,15358.1279296875,182536013
2023-09-12 12:00:00-04:00,15357.98828125,15402.1357421875,15278.951171875,15292.599609375,341503654
2023-09-13 08:00:00-04:00,15293.4921875,15396.4736328125,15256.630859375,15385.8994140625,181953720
2023-09-13 12:00:00-04:00,15387.64453125,15414.154296875,15307.546875,15347.4833984375,298854737
2023-09-14 08:00:00-04:00,15413.5537109375,15492.6796875,15338.064453125,15469.8232421875,192946217
2023-09-14 12:00:00-04:00,15469.2900390625,15512.8173828125,15456.78125,15474.310546875,301634221
2023-09-15 08:00:00-04:00,15417.232421875,15433.1005859375,15227.7890625,15248.3310546875,208384829
2023-09-15 12:00:00-04:00,15248.541015625,15276.5439453125,15173.708984375,15202.7294921875,407001116
2023-09-18 08:00:00-04:00,15155.4609375,15264.55859375,15155.4609375,15260.7734375,167449955
2023-09-18 12:00:00-04:00,15261.83203125,15268.8447265625,15195.208984375,15225.9560546875,271860410
2023-09-19 08:00:00-04:00,15156.7119140625,15187.654296875,15069.4150390625,15101.5,168314912
2023-09-19 12:00:00-04:00,15101.5224609375,15219.60546875,15082.1591796875,15190.380859375,300067674
2023-09-20 08:00:00-04:00,15225.9052734375,15245.1923828125,15148.326171875,15190.0673828125,143504423
2023-09-20 12:00:00-04:00,15190.3505859375,15200.3212890625,14968.8662109375,14969.123046875,370933254
2023-09-21 08:00:00-04:00,14817.392578125,14848.1064453125,14752.79296875,14775.1845703125,200853828
