Date,rsi_1w,macd_pct_1w,ema_cross_1w,atr_pct_1w,ret_1,ret_5,smc_bias_1w,zone_dist_atr,at_zone,high,low,close,label,label_bars
1929-02-18,0.6299904514467807,4.558139440262346,1.0,2.578451710627689,0.0207282454394093,0.0036268486522796,0,6.895442472035461,0,24.86000061035156,24.3799991607666,24.86000061035156,0,5
1929-02-25,0.6763865344967354,4.532486388201312,1.0,2.57260101317086,0.038276493519938,0.0136427914156982,0,8.11132634401247,0,25.82999992370605,24.90999984741211,25.82999992370605,0,1
1929-03-04,0.6307274596990233,4.525353768524008,1.0,2.694738659339428,-0.0203370506976776,-0.0207241313631292,1,0.777083420885417,0,25.489999771118164,24.920000076293945,25.309999465942383,0,3
1929-03-11,0.6666154817331781,4.500992548822082,1.0,2.737866349075851,0.0299691806766948,0.0649475779778918,1,0.3361174018451557,1,26.07999992370605,24.950000762939453,26.07999992370605,0,2
1929-03-18,0.6218197001784103,4.463894274142476,1.0,2.7432102383013675,-0.0205314473440019,0.0481054215943625,1,0.4137608395922124,1,26.040000915527344,25.549999237060547,25.549999237060547,0,1
1929-03-25,0.6201263426179766,4.307935207294258,1.0,2.8850011506617284,-0.0007830286400438,0.0265941475149094,1,0.4208856593272494,1,25.530000686645508,24.350000381469727,25.530000686645508,0,2
1929-04-01,0.5793459954555421,4.06026796038584,1.0,2.921309086051079,-0.0189804610748165,-0.0306628070798451,1,1.0795490215944117,0,25.299999237060547,24.86000061035156,25.049999237060547,0,5
1929-04-08,0.5854621537372132,3.772068879473719,1.0,2.8495436975090627,0.0039840843037572,-0.0063416720784101,1,0.962800091431077,0,25.14999961853028,24.6299991607666,25.14999961853028,0,5
1929-04-15,0.6016781837306941,3.561582634946267,1.0,2.739805290773687,0.0102849099490738,-0.0260259428060312,0,0.617652781261458,0,25.43000030517578,25.0,25.40999984741211,0,5
1929-04-22,0.6123557857112799,3.4168335919620265,1.0,2.6500612434458013,0.0066680018410942,0.0011735063790649,0,0.383545843598263,1,25.850000381469727,25.57999992370605,25.57999992370605,0,4
