Datetime,open,high,low,close,volume
2026-06-17 09:30:00-04:00,30157.958984375,30157.958984375,30147.369140625,30147.369140625,0
2026-06-17 09:31:00-04:00,30146.876953125,30151.68359375,30130.455078125,30130.455078125,8223972
2026-06-17 09:32:00-04:00,30130.400390625,30148.0625,30127.529296875,30133.22265625,7347594
2026-06-17 09:33:00-04:00,30128.634765625,30128.634765625,30097.76953125,30097.76953125,4527737
2026-06-17 09:34:00-04:00,30102.458984375,30108.02734375,30095.849609375,30105.62890625,3667214
2026-06-17 09:35:00-04:00,30111.52734375,30125.953125,30102.142578125,30125.953125,3889121
2026-06-17 09:36:00-04:00,30117.17578125,30123.81640625,30106.130859375,30123.81640625,3999005
2026-06-17 09:37:00-04:00,30131.923828125,30138.80078125,30107.236328125,30109.658203125,3880885
2026-06-17 09:38:00-04:00,30121.107421875,30121.107421875,30085.216796875,30085.216796875,3605677
2026-06-17 09:39:00-04:00,30082.611328125,30088.279296875,30075.904296875,30079.64453125,3649973
2026-06-17 09:40:00-04:00,30083.80859375,30114.06640625,30083.224609375,30114.06640625,3720536
2026-06-17 09:41:00-04:00,30114.46484375,30140.83984375,30114.46484375,30140.83984375,4219008
2026-06-17 09:42:00-04:00,30140.1796875,30143.916015625,30139.361328125,30142.7890625,3848388
2026-06-17 09:43:00-04:00,30152.93359375,30193.20703125,30152.93359375,30193.20703125,3425808
2026-06-17 09:44:00-04:00,30187.8359375,30193.9140625,30180.0078125,30186.509765625,3805250
2026-06-17 09:45:00-04:00,30184.451171875,30202.150390625,30184.451171875,30185.240234375,3692521
2026-06-17 09:46:00-04:00,30176.83203125,30176.83203125,30162.4609375,30165.552734375,3851274
2026-06-17 09:47:00-04:00,30163.982421875,30172.103515625,30145.974609375,30149.880859375,3080632
2026-06-17 09:48:00-04:00,30154.181640625,30159.16015625,30149.31640625,30159.16015625,3464925
2026-06-17 09:49:00-04:00,30165.4765625,30165.4765625,30129.9296875,30129.9296875,3399277
2026-06-17 09:50:00-04:00,30130.447265625,30135.07421875,30098.46484375,30100.61328125,3925420
2026-06-17 09:51:00-04:00,30115.08203125,30149.265625,30115.08203125,30139.4609375,3649179
2026-06-17 09:52:00-04:00,30133.26171875,30145.646484375,30122.4765625,30140.65625,3787170
2026-06-17 09:53:00-04:00,30135.26171875,30140.88671875,30113.892578125,30130.498046875,3616618
2026-06-17 09:54:00-04:00,30131.220703125,30148.9921875,30131.220703125,30140.99609375,2923661
2026-06-17 09:55:00-04:00,30136.62109375,30136.62109375,30116.701171875,30116.701171875,3681105
2026-06-17 09:56:00-04:00,30113.4375,30113.4375,30080.10546875,30080.10546875,3298594
