Date,rsi_1w,macd_pct_1w,ema_cross_1w,atr_pct_1w,ret_1,ret_5,smc_bias_1w,zone_dist_atr,at_zone,high,low,close,label,label_bars
2001-10-22,0.505596118169136,1.5144392039686465,1.0,2.335336040312399,-0.0078853892710855,-0.0491499421649921,1,0.2927617179193962,1,277.8999938964844,275.5,277.8999938964844,0,5
2001-10-29,0.5223611891790394,1.3542374992258093,1.0,2.238045170292769,0.0068137038182118,-0.0440476883980895,0,0.606828071354762,0,281.20001220703125,278.5,279.79998779296875,0,3
2001-11-05,0.4993281021337343,1.162897617638409,1.0,2.2043121218262067,-0.0086145327255255,-0.049236386937463,0,0.2289531411260301,1,281.0,276.79998779296875,277.3999938964844,0,5
2001-11-12,0.4740059615377717,0.921884782192531,1.0,2.1605874949762587,-0.0097808483392425,-0.0364585825415924,0,0.2190325893804566,1,278.29998779296875,274.70001220703125,274.70001220703125,0,5
2001-11-19,0.4573539157576817,0.6656861946056416,1.0,2.07184068555032,-0.006574232190009,-0.0260412987076508,0,0.2299213977941602,1,273.0,272.70001220703125,272.8999938964844,0,5
2001-11-26,0.4685244726384739,0.4800826567363621,1.0,2.0002791496794003,0.0036576486363948,-0.0144982608001704,0,0.3832992119741888,1,275.5,272.29998779296875,273.8999938964844,0,5
2001-12-03,0.4685244726384739,0.3310999106025546,1.0,1.9747545971655776,0.0,-0.0213119646183823,0,0.3882535191466268,1,277.5,273.0,273.8999938964844,1,5
2001-12-10,0.5159092460902531,0.3251459537638787,1.0,1.9942207905282767,0.0148580597053422,0.0021606278124854,0,0.3607546686147406,1,278.5,271.20001220703125,278.0,0,5
2001-12-17,0.5159092460902531,0.3206016241408257,1.0,2.000799772935784,0.0,0.011941476151728,0,0.3595684436609264,1,281.29998779296875,275.5,278.0,0,5
2001-12-24,0.4971040043275063,0.2718117934775642,1.0,1.9816300100848252,-0.0054102927282473,0.0131054156134897,0,0.0912540814789669,1,280.8999938964844,276.5,276.5,1,5
2001-12-31,0.5268229143069598,0.2957998103655414,1.0,1.8857164938870417,0.0086424517868097,0.0180902187639047,0,0.5514068784402715,0,278.8999938964844,276.79998779296875,278.8999938964844,1,5
2002-01-07,0.6138581392026959,0.5397266338125601,1.0,1.917944399405128,0.0300216796587182,0.0481118984226229,0,0.0,1,287.3999938964844,278.6000061035156,287.3999938964844,0,2
2002-01-14,0.5579471244241074,0.6214868718948137,1.0,1.916491479136844,-0.0150747387304894,0.0181790999867912,0,0.7925386508648565,0,287.29998779296875,283.1000061035156,283.1000061035156,1,3
