Datetime,rsi_1h,macd_pct_1h,ema_cross_1h,atr_pct_1h,ret_1,ret_5,smc_bias_1h,zone_dist_atr,at_zone,high,low,close,label,label_bars
2024-07-02 12:00:00,0.5039532881909313,-0.0229625290305586,1.0,0.3801385778384959,0.0014973416865444,0.0041619720621817,0,0.2403835945481671,1,62927.765625,62639.1953125,62809.26953125,0,1
2024-07-02 13:00:00,0.4403429618450606,-0.0471355818224564,1.0,0.4120819039725475,-0.0037577418884939,-0.0004880552934949,-1,0.535359009507694,0,63015.03125,62508.97265625,62573.69140625,0,1
2024-07-02 14:00:00,0.3277729859776612,-0.1427060921413814,1.0,0.4788783973358739,-0.0095575000343721,-0.0095648663218952,-1,1.1149729988335029,0,62632.78125,61829.671875,61978.4921875,0,10
2024-07-02 15:00:00,0.3226337884704784,-0.2201570993329815,1.0,0.469434048805751,-0.0005557907217852,-0.0110589155340399,-1,1.019608192441664,0,62038.21875,61825.62890625,61944.0546875,0,10
2024-07-02 16:00:00,0.3091853667788601,-0.2901067523986406,1.0,0.4585950980972368,-0.0014331402866751,-0.0138068312447821,-1,0.7324728925145847,0,61917.3359375,61752.9609375,61855.34375,0,9
2024-07-02 17:00:00,0.3736931679847333,-0.3140736462258471,1.0,0.4509483479191457,0.0032852264190328,-0.0120189465122937,-1,1.3462748644642006,0,62058.88671875,61828.58984375,62058.88671875,0,8
2024-07-02 18:00:00,0.4323087918739782,-0.3021360640312741,1.0,0.4430219590860829,0.0033619226496703,-0.0048992819741293,-1,0.6081753991535332,0,62282.8359375,62059.30078125,62267.875,0,1
2024-07-02 19:00:00,0.3653493041520689,-0.3409324674592336,-1.0,0.4641353541383977,-0.0061218044961552,-0.0014635864359124,-1,0.836507526325613,0,62262.33203125,61832.65234375,61887.84765625,0,6
2024-07-02 20:00:00,0.3777045979771874,-0.3598960011823395,-1.0,0.4512047784343804,0.0007306418571797,-0.0001771538569474,-1,1.0217237699301394,0,61973.75390625,61795.6875,61933.08203125,0,5
2024-07-02 21:00:00,0.3731578375311342,-0.374392231722293,-1.0,0.4394220514078054,-0.0004245653977754,0.0008314210319522,-1,0.7592092887582527,0,61995.8125,61820.1484375,61906.79296875,0,4
2024-07-02 22:00:00,0.4023937703786985,-0.3679899912609738,-1.0,0.4229878619307389,0.0016012398731426,-0.0008525655139379,-1,1.165696317276978,0,62006.0,61870.52734375,62006.0,0,3
2024-07-02 23:00:00,0.4092345096397314,-0.3561758912904275,-1.0,0.4019993574464267,0.000368784903916,-0.0038457032596923,-1,1.317826182974403,0,62076.59375,61995.2265625,62028.87109375,0,2
2024-07-03 00:00:00,0.4188506490551149,-0.3388513814434523,-1.0,0.3913815198725277,0.0004947957928767,0.0027708970293396,-1,1.4792996826742022,0,62187.703125,62034.33203125,62059.5703125,0,1
2024-07-03 01:00:00,0.3039222310521049,-0.4110674879131812,-1.0,0.4488915621423455,-0.0107285441712967,-0.0086882889991368,-1,1.0991844561369075,0,62098.2578125,61397.3203125,61397.3203125,0,2
2024-07-03 02:00:00,0.2852140831968157,-0.4803489316127999,-1.0,0.4574604624626529,-0.0023971758539946,-0.010660899455356,-1,1.605830549438914,0,61522.8359375,61182.98828125,61250.31640625,0,1
2024-07-03 03:00:00,0.2440568711224899,-0.5806322776926376,-1.0,0.4940531001624237,-0.0061242318128069,-0.0183863711413057,-1,0.8073906716976342,0,61274.98046875,60706.8671875,60876.3515625,0,5
2024-07-03 04:00:00,0.2368742389236256,-0.6606267254513786,-1.0,0.4769798566324034,-0.0011993576271613,-0.0199545136723831,-1,0.5856952856707415,0,60887.046875,60736.66796875,60803.3828125,0,5
2024-07-03 05:00:00,0.2945216228426796,-0.6884141032497748,-1.0,0.4647232535892815,0.0030892765512611,-0.0173600329139986,-1,1.2630186028334076,0,60991.51171875,60793.5859375,60991.51171875,0,3
2024-07-03 06:00:00,0.2851517164241829,-0.7147653428197749,-1.0,0.4527031456411424,-0.0012466596533027,-0.0078781483960046,-1,1.0226184677003618,0,61079.3828125,60903.39453125,60915.5234375,0,2
2024-07-03 07:00:00,0.2710970743452028,-0.7430530125030659,-1.0,0.4400241846374653,-0.0018893875934544,-0.0073703601354644,-1,0.6242855516765686,0,60943.7265625,60783.171875,60800.5390625,0,2
2024-07-03 08:00:00,0.2423109668793121,-0.7928092665310262,-1.0,0.4512391531809925,-0.0042416372250073,-0.0054877655476648,-1,0.3306365873287731,1,60889.93359375,60543.19140625,60543.19140625,0,2
2024-07-03 09:00:00,0.2396463160747157,-0.8239202925748285,-1.0,0.4375136942817558,-0.0004134009065417,-0.0047018088270451,-1,0.4356583658965913,1,60558.36328125,60403.0390625,60518.16796875,0,1
2024-07-03 10:00:00,0.2144930980159018,-0.8748927655603829,-1.0,0.5029257322603463,-0.0041027978600105,-0.0118938832383168,-1,1.1980152825135684,0,60524.7421875,59723.20703125,60270.3828125,0,2
2024-07-03 11:00:00,0.2213969063714233,-0.8993415591254642,-1.0,0.5074047176914395,0.0003224530096108,-0.0103247705754032,-1,1.1235180515678067,0,60383.39453125,60041.10546875,60289.8203125,0,1
2024-07-03 12:00:00,0.1912183221895725,-0.956494398432748,-1.0,0.5226032062803438,-0.0053902924813513,-0.0138256754633001,-1,2.1309554875603385,0,60287.1640625,59879.3359375,59965.71484375,0,8
2024-07-03 13:00:00,0.3565375445556739,-0.9025648705739951,-1.0,0.5825475622478689,0.0094151104685149,-0.0001689277697778,-1,0.2851536832965522,1,60532.96484375,59670.07421875,60532.96484375,0,2
2024-07-03 14:00:00,0.3182218406009561,-0.902564225416805,-1.0,0.5829941551598092,-0.0051388751458034,-0.0048944020090395,-1,1.1701345589829777,0,60531.98828125,60201.87109375,60222.69140625,0,5
2024-07-03 15:00:00,0.3047477545442815,-0.906119723965803,-1.0,0.598297979627034,-0.0019702202276992,-0.0027618243767282,-1,1.472081220768671,0,60381.25,59911.0546875,60104.15625,0,4
2024-07-03 16:00:00,0.3796333813181911,-0.8510936589178474,-1.0,0.6072332445276458,0.0052072385655606,0.0021229611792215,-1,0.5875805770197041,0,60555.49609375,60094.03125,60417.94921875,0,3
2024-07-03 17:00:00,0.363212320182783,-0.819777956719565,-1.0,0.5920300739129464,-0.0020263621610556,0.0054868914995171,-1,0.94651248788778,0,60424.921875,60196.77734375,60295.64453125,0,2
2024-07-03 18:00:00,0.3493269266116112,-0.7997397546158179,-1.0,0.5711088249240426,-0.0017323590368558,-0.0056605780058536,-1,1.286482475120926,0,60363.30078125,60191.28125,60191.28125,0,1
2024-07-03 19:00:00,0.2947604248830205,-0.8425745543985934,-1.0,0.5906077815283332,-0.0078268541416335,-0.0083485570016836,-1,0.1472473366027476,1,60185.203125,59722.01171875,59722.01171875,0,6
2024-07-03 20:00:00,0.2813549598852071,-0.8813242945413566,-1.0,0.57386757738183,-0.0022280258423457,-0.0086063626163301,-1,0.2367995317342376,1,59791.17578125,59589.09765625,59589.09765625,1,2
2024-07-03 21:00:00,0.41981634002726,-0.804721293710964,-1.0,0.6262553758786088,0.010809869368705,-0.0030037318131856,-1,0.9483871643815388,0,60255.17578125,59419.38671875,60236.7421875,0,4
2024-07-03 22:00:00,0.4241496828959123,-0.7395591070118044,-1.0,0.6047940635620855,0.0003898567910827,-0.0005875128610473,-1,0.9172096905989304,0,60286.20703125,60087.96875,60260.23046875,0,3
2024-07-03 23:00:00,0.4192708600414954,-0.6852085336970964,-1.0,0.5749624865853824,-0.0005640544817762,0.0005807916940323,-1,1.0634734116847884,0,60287.89453125,60177.8515625,60226.25,0,2
2024-07-04 00:00:00,0.4461229423890777,-0.6155166308065302,-1.0,0.5626026623949424,0.0022057104393393,0.0106133562750052,-1,0.6928195812611853,0,60399.67578125,60147.13671875,60359.23828125,0,1
2024-07-04 01:00:00,0.2709842443448469,-0.8062629670563031,-1.0,0.7611648868763815,-0.0290137379580315,-0.0161723558406805,-1,2.323400329432508,0,60398.53515625,58564.98046875,58633.15234375,0,1
2024-07-04 02:00:00,0.3267275245146062,-0.881253194466344,-1.0,0.8367499377092219,0.0057485684206213,-0.0212336567887643,-1,1.4163681031068576,0,59038.94921875,57932.60546875,58971.1796875,0,5
2024-07-04 03:00:00,0.3461173382347881,-0.915228826974774,-1.0,0.8058080782049568,0.0020620429094133,-0.0195614706704336,-1,1.2120910781029153,0,59092.90625,58841.1875,59092.90625,0,3
2024-07-04 04:00:00,0.3358825690630461,-0.950909159337886,-1.0,0.7943276759068609,-0.0020258765321514,-0.0210232927208089,-1,1.4874044099155908,0,59067.78515625,58725.0078125,58973.3125,0,3
2024-07-04 05:00:00,0.3281162610555262,-0.9800744521010076,-1.0,0.7578588841844834,-0.0015084396849562,-0.0247374428451045,-1,1.7605227794974685,0,58977.48828125,58819.57421875,58884.421875,0,2
2024-07-04 06:00:00,0.3205167532720382,-1.003540107155228,-1.0,0.7526919142959841,-0.0014384367204183,0.0028378583925086,-1,1.9664029347260064,0,58978.91015625,58584.1640625,58799.78125,0,1
2024-07-04 07:00:00,0.2699404365178826,-1.107616006741031,-1.0,0.793426240570642,-0.010871729486066,-0.0137824395141787,-1,0.5013838696321873,0,58804.828125,58097.546875,58163.98828125,0,1
2024-07-04 08:00:00,0.2349551965162211,-1.2563804269531604,-1.0,0.8730699922951733,-0.0096242835291029,-0.025468765952695,-1,0.6476185691508455,0,58416.578125,57374.6484375,57606.88671875,0,1
2024-07-04 09:00:00,0.2497787703807459,-1.3374715028863005,-1.0,0.8998978141479383,0.0013681220132379,-0.0220747674073056,-1,0.4755258283038751,1,57773.20703125,57043.95703125,57685.75390625,0,4
2024-07-04 10:00:00,0.2860469107357106,-1.3560437473976534,-1.0,0.8913570992296473,0.0033228513099992,-0.0172434764123501,-1,0.1063226045261126,1,57877.75390625,57403.65625,57877.75390625,0,2
2024-07-04 11:00:00,0.2740459687200494,-1.3847405645870572,-1.0,0.877126635040971,-0.0027942643072549,-0.0185993039991867,-1,0.4273656394904329,1,58045.52734375,57664.76953125,57716.25390625,0,1
2024-07-04 12:00:00,0.2377928727887779,-1.4777428444070733,-1.0,0.8908412508311672,-0.0094867244537155,-0.0172142989668362,-1,1.4947819784027143,0,57720.40234375,57171.3046875,57171.3046875,1,4
2024-07-04 13:00:00,0.2737401863195409,-1.492067242767369,-1.0,0.9031137312534424,0.0033061904197104,-0.0042838250180228,-1,1.104119022924572,0,57409.27734375,56777.8046875,57360.63671875,1,6
2024-07-04 14:00:00,0.2772972718852139,-1.4870806588793033,-1.0,0.8993232387232567,0.000319813787625,-0.0053321332436357,-1,1.0728622301585866,0,57446.34375,56956.44140625,57378.984375,1,5
2024-07-04 15:00:00,0.4014307517528934,-1.3493444416459606,-1.0,0.925984246113304,0.0124939405792332,0.0038389560255982,-1,0.31183185254655,1,58165.5546875,57341.84375,58100.37109375,0,8
2024-07-04 16:00:00,0.4238183450922666,-1.2165421676692247,-1.0,0.9262984689534004,0.002604699181111,0.0092379195139642,-1,0.5917436538966341,0,58319.03515625,57758.828125,58251.90234375,0,7
2024-07-04 17:00:00,0.4198974667356406,-1.106859284825957,-1.0,0.8878664885708648,-0.0006032335661014,0.0181214104015783,-1,0.549767834474897,0,58309.70703125,58087.91015625,58216.7734375,0,6
