Datetime,open,high,low,close,volume
2026-05-01 00:00:00+00:00,2256.860107421875,2263.199951171875,2256.860107421875,2261.659912109375,0
2026-05-01 00:15:00+00:00,2262.409912109375,2265.10009765625,2260.169921875,2261.449951171875,94513152
2026-05-01 00:30:00+00:00,2261.510009765625,2263.429931640625,2260.320068359375,2262.889892578125,62384128
2026-05-01 00:45:00+00:00,2262.89990234375,2265.0,2257.89990234375,2259.300048828125,46843904
2026-05-01 01:00:00+00:00,2259.43994140625,2264.39990234375,2259.3798828125,2262.72998046875,0
2026-05-01 01:15:00+00:00,2263.360107421875,2264.860107421875,2260.889892578125,2261.64990234375,23683072
2026-05-01 01:30:00+00:00,2261.760009765625,2265.02001953125,2261.2900390625,2265.010009765625,30765056
2026-05-01 01:45:00+00:00,2265.199951171875,2269.760009765625,2264.179931640625,2266.800048828125,54102016
2026-05-01 02:00:00+00:00,2267.43994140625,2269.219970703125,2264.6201171875,2266.050048828125,28934144
2026-05-01 02:15:00+00:00,2266.330078125,2267.780029296875,2264.409912109375,2265.909912109375,331776
2026-05-01 02:30:00+00:00,2266.080078125,2267.0,2264.280029296875,2265.639892578125,0
2026-05-01 02:45:00+00:00,2265.3701171875,2267.050048828125,2264.340087890625,2266.2900390625,0
2026-05-01 03:00:00+00:00,2266.27001953125,2269.830078125,2265.219970703125,2268.719970703125,0
2026-05-01 03:15:00+00:00,2268.570068359375,2293.070068359375,2268.570068359375,2284.199951171875,391236608
2026-05-01 03:30:00+00:00,2284.110107421875,2287.47998046875,2278.969970703125,2283.110107421875,171889664
2026-05-01 03:45:00+00:00,2283.2099609375,2285.030029296875,2280.85009765625,2282.0,205546496
2026-05-01 04:00:00+00:00,2282.610107421875,2283.97998046875,2280.169921875,2282.340087890625,18763776
2026-05-01 04:15:00+00:00,2282.580078125,2285.090087890625,2277.06005859375,2278.9599609375,8879104
2026-05-01 04:30:00+00:00,2278.659912109375,2280.2900390625,2277.43994140625,2280.2099609375,51200000
2026-05-01 04:45:00+00:00,2280.179931640625,2281.2099609375,2278.639892578125,2279.340087890625,0
2026-05-01 05:00:00+00:00,2279.340087890625,2285.7900390625,2278.199951171875,2283.6298828125,60630016
2026-05-01 05:15:00+00:00,2283.820068359375,2284.080078125,2281.39990234375,2281.39990234375,17094656
2026-05-01 05:30:00+00:00,2281.199951171875,2283.27001953125,2281.1298828125,2283.27001953125,59836416
2026-05-01 05:45:00+00:00,2283.199951171875,2285.5,2282.169921875,2282.639892578125,30651392
2026-05-01 06:00:00+00:00,2282.8701171875,2286.030029296875,2282.39990234375,2284.4599609375,45016064
2026-05-01 06:15:00+00:00,2284.60009765625,2285.989990234375,2283.60009765625,2283.77001953125,0
2026-05-01 06:30:00+00:00,2283.989990234375,2285.280029296875,2277.4599609375,2279.9599609375,0
