Datetime,rsi_15m,macd_pct_15m,ema_cross_15m,atr_pct_15m,ret_1,ret_5,smc_bias_15m,zone_dist_atr,at_zone,high,low,close,label,label_bars
2026-05-01 15:00:00,0.6188904652060908,0.3343127780085239,1.0,0.3594585903001009,0.0009702303960992,-0.003811098582271,1,2.47463731545524,0,2310.60009765625,2301.39990234375,2309.840087890625,0,3
2026-05-01 15:15:00,0.6086159008602953,0.318576126480011,1.0,0.345935498326346,-0.000355095564239,-0.0048387955899507,1,2.0744428377506776,0,2311.31005859375,2307.419921875,2309.02001953125,0,2
2026-05-01 15:30:00,0.6482609383539338,0.3196686356436548,1.0,0.3447680396432818,0.0022365084318751,0.0021065704789151,1,1.4288427341114425,0,2316.68994140625,2308.830078125,2314.18994140625,0,1
2026-05-01 15:45:00,0.5718802176411594,0.2964305770266057,1.0,0.3679097140742204,-0.0027389742104455,0.0006762048131694,1,2.088129948235867,0,2314.7900390625,2299.639892578125,2307.860107421875,0,2
2026-05-01 16:00:00,0.5418986099056653,0.2649358315286926,1.0,0.3709810496905251,-0.0011966329524941,-0.0010839638992043,1,1.8484184744379897,0,2314.43994140625,2305.10009765625,2305.10009765625,0,10
2026-05-01 16:15:00,0.5215204870550307,0.2305437784989306,1.0,0.3729272879499313,-0.0008290087399904,-0.0028832030352941,1,1.6179070546240946,0,2308.39990234375,2299.320068359375,2303.18994140625,0,10
2026-05-01 16:30:00,0.4960694347792903,0.1926198767095145,1.0,0.3654357730267531,-0.0010512350751898,-0.0035793425462449,1,1.3649936697052485,0,2304.909912109375,2298.860107421875,2300.77001953125,0,10
2026-05-01 16:45:00,0.5042521552372611,0.1631035609688165,1.0,0.3646077898767553,0.0003302738910848,-0.0054855770870352,1,1.458210022096072,0,2305.39990234375,2297.219970703125,2301.530029296875,0,10
2026-05-01 17:00:00,0.5617305766939442,0.1575354861251014,1.0,0.3664576178550123,0.0024735304359477,-0.0002730724406418,1,2.1214148239702477,0,2307.68994140625,2298.409912109375,2307.22998046875,0,10
2026-05-01 17:15:00,0.5245042440646186,0.1406888098285454,1.0,0.3602610498627419,-0.0014052640247683,-0.000481703512916,1,1.7705957065153208,0,2307.989990234375,2301.699951171875,2303.989990234375,0,10
2026-05-01 17:30:00,0.55962085115199,0.1380302045870222,1.0,0.3614904052702926,0.0015700051411426,0.001917310368217,1,2.1554105707886184,0,2310.800048828125,2301.919921875,2307.610107421875,0,10
2026-05-01 17:45:00,0.5968229938597606,0.1487952310940571,1.0,0.3569964328168561,0.0018183893987604,0.0047869348421674,1,1.669683345783795,0,2313.2099609375,2306.110107421875,2311.81005859375,0,4
2026-05-01 18:00:00,0.5559939747155735,0.1442435719392612,1.0,0.3464954320979478,-0.0014675188644295,0.002989142086653,1,2.143495444174711,0,2312.489990234375,2307.800048828125,2308.419921875,0,9
2026-05-01 18:15:00,0.5716348037437623,0.14456341496986,1.0,0.3368789559991979,0.0007275819302572,0.0012431935809624,1,1.9904279567041665,0,2311.179931640625,2306.2099609375,2310.10009765625,0,4
2026-05-01 18:30:00,0.5139577044204726,0.1263575310947464,1.0,0.3311227106780086,-0.0021538327607437,0.000494624844987,1,1.8151717422135776,0,2309.800048828125,2304.409912109375,2305.1298828125,0,7
2026-05-01 18:45:00,0.50599328997009,0.1079516427151725,1.0,0.3208337319334357,-0.0003123829019866,-0.0013877631981422,1,1.7765875168854874,0,2307.800048828125,2303.52001953125,2304.409912109375,0,6
2026-05-01 19:00:00,0.5280891962119508,0.0991757201270752,1.0,0.3114993110723048,0.0008762046520542,-0.0023299479448484,0,0.9437005638390394,0,2307.699951171875,2303.22998046875,2306.429931640625,0,5
2026-05-01 19:15:00,0.5252089398146823,0.0904574548300166,1.0,0.3060960121461895,-9.971772059902406e-05,-0.0009621468010179,0,0.9930337128879044,0,2307.39990234375,2301.969970703125,2306.199951171875,0,4
2026-05-01 19:30:00,0.5026161873130781,0.076558807878689,1.0,0.2917327140627074,-0.0007634557857985,-0.0024531845170736,0,1.3045178745927897,0,2306.070068359375,2303.85009765625,2304.43994140625,0,3
2026-05-01 19:45:00,0.5045741323096465,0.0652584672894192,1.0,0.281228541099949,6.515318124389324e-05,-0.0002341985750859,0,1.3299881945821808,0,2306.6298828125,2303.2900390625,2304.590087890625,0,2
2026-05-01 20:00:00,0.4880361591580001,0.0515375776744272,1.0,0.2701150657792652,-0.0005209203793103,-0.0004427360524097,0,1.5783315808080522,0,2305.2900390625,2302.43994140625,2303.389892578125,0,1
2026-05-01 20:15:00,0.4357518054464854,0.0260903688572214,1.0,0.2743474284381379,-0.001772800789177,-0.0030917414936411,0,1.2737649537635072,0,2303.669921875,2296.239990234375,2299.31005859375,0,1
2026-05-01 20:30:00,0.3776550992553868,-0.0131202060158431,1.0,0.282570689417814,-0.0023687047934464,-0.0053607285664885,0,0.4003657826466234,1,2299.64990234375,2290.909912109375,2293.8701171875,0,1
2026-05-01 20:45:00,0.3060125043700856,-0.074876131807197,1.0,0.3123276222028515,-0.0038743742696762,-0.0084716470503662,0,0.8792630454710885,0,2295.050048828125,2279.39990234375,2285.0,1,6
2026-05-01 21:00:00,0.3317157895166736,-0.1164522092737785,1.0,0.3083925368713813,0.0007305522829987,-0.0078062479486114,0,0.65302824516866,0,2290.02001953125,2284.070068359375,2286.669921875,0,10
2026-05-01 21:15:00,0.3836806351817655,-0.1352183132656856,1.0,0.3028896273627738,0.0015425520474723,-0.0057427755218286,0,0.1549816394591878,1,2291.699951171875,2286.260009765625,2290.199951171875,0,10
2026-05-01 21:30:00,0.3693980825844831,-0.1543077953289434,1.0,0.3042391449371419,-0.0007119304417519,-0.0046819051744035,0,0.3884909519440417,1,2294.0,2286.699951171875,2288.570068359375,0,10
2026-05-01 21:45:00,0.4266500264959429,-0.1530073845251394,1.0,0.2959964045815039,0.0017723808430831,-0.0005408195378739,0,0.1996519347555408,1,2292.639892578125,2288.14990234375,2292.6298828125,0,10
2026-05-01 22:00:00,0.4689810843267268,-0.1387412905523224,1.0,0.2875550804639935,0.0014427411131183,0.0047762958449206,-1,1.6875495696129232,0,2296.800048828125,2292.590087890625,2295.93994140625,0,5
2026-05-01 22:15:00,0.4828944121632497,-0.1222044320456716,1.0,0.2779865858840695,0.0004877497103006,0.0045334932722225,-1,1.9202002109512293,0,2299.5,2295.929931640625,2297.06005859375,0,4
2026-05-01 22:30:00,0.4590711190868182,-0.1151660016661528,1.0,0.2716830816077275,-0.0008972263888802,0.0020937148358699,-1,1.636120077265181,0,2297.780029296875,2293.5,2295.0,0,10
2026-05-01 22:45:00,0.4407682214465753,-0.1139297005800977,1.0,0.2651930089659685,-0.0007018180780882,0.0021038271995337,-1,1.412600493785941,0,2294.800048828125,2290.909912109375,2293.389892578125,0,10
2026-05-01 23:00:00,0.4273225537630642,-0.1157631693840888,1.0,0.254573265757138,-0.0005146247838263,-0.0001831784273758,-1,1.2700818602560122,0,2293.580078125,2290.949951171875,2292.2099609375,0,10
2026-05-01 23:15:00,0.3942800715008441,-0.1264757936011377,-1.0,0.2505235026466207,-0.0013140104275608,-0.002939929968055,-1,0.7674593798423858,0,2293.330078125,2288.89990234375,2289.199951171875,0,10
2026-05-01 23:30:00,0.437104731269571,-0.123576883105718,-1.0,0.2457509395039462,0.0012005720785985,-0.002227107599757,-1,0.9434000885630888,0,2293.5,2289.260009765625,2291.949951171875,0,10
