Date,rsi_1w,macd_pct_1w,ema_cross_1w,atr_pct_1w,ret_1,ret_5,smc_bias_1w,zone_dist_atr,at_zone,high,low,close,label,label_bars
1986-11-24,0.5431975423633992,-0.6292792572807341,1.0,3.0863617570803275,0.0346617604383752,0.0412262801111493,0,1.0107373994327595,0,147.9600067138672,142.77000427246094,147.94000244140625,0,3
1986-12-01,0.557227351001707,-0.3175052371393611,1.0,3.0948241699837773,0.0074414588237567,0.031107201388778,0,0.760944619907529,0,150.85000610351562,145.6300048828125,149.0449981689453,0,2
1986-12-08,0.4967806153817975,-0.2989971536663851,1.0,3.165946446797393,-0.0276524890827376,0.0004828870739741,0,1.6503300791754594,0,149.0449981689453,144.75,144.97999572753906,1,4
1986-12-15,0.4800864002273751,-0.3435588393259236,1.0,3.0860226911277717,-0.0083809422515859,0.0018449183282109,0,1.9800392160190072,0,144.97999572753906,142.53500366210938,143.77000427246094,1,3
1986-12-22,0.4683887096152725,-0.4213634452273762,1.0,2.98552678167077,-0.0058248657641071,0.0002449221637013,0,0.9326593660531296,0,144.38999938964844,142.3249969482422,142.93499755859375,1,2
1986-12-29,0.4672874160028644,-0.4803847897435231,1.0,2.8782279511583724,-0.0005248303885245,-0.0349416686631984,0,0.9496970050061102,0,143.03500366210938,140.94500732421875,142.86000061035156,1,1
1987-01-05,0.6393445288016008,0.2439069602900914,1.0,3.0929570404650697,0.094317010043559,0.0519338825566038,0,0.9133747189516782,0,157.38499450683594,142.86000061035156,156.99000549316406,1,2
1987-01-12,0.6825228998223415,1.0195788069480394,1.0,3.145785741865685,0.0345881574035837,0.1141745290429252,0,0.4000095253733983,1,165.0500030517578,156.60000610351562,162.51499938964844,1,3
1987-01-19,0.7111686301856301,1.7841341632856555,1.0,3.2132836910224816,0.0258153306662167,0.1483708019607279,1,0.411485919149663,1,170.27499389648438,161.71499633789062,166.76499938964844,1,3
1987-01-26,0.7097083103764916,2.380150029876173,1.0,3.199435025846643,-0.0005398052988061,0.1536558624260289,1,0.3966137194289112,1,168.875,163.8800048828125,166.6750030517578,1,2
1987-02-02,0.7571731685527464,3.05419859303886,1.0,3.1998084170827923,0.0466236510989013,0.2008043439134548,1,1.8021334333060155,0,175.48500061035156,166.5800018310547,174.6300048828125,1,5
1987-02-09,0.7788803168062697,3.740050412425732,1.0,3.219370412864709,0.0250794041387143,0.13156673800861,1,2.5161482038535747,0,179.30499267578125,171.24000549316406,179.06500244140625,0,5
1987-02-16,0.7725081134915796,4.286210139860399,1.0,3.2648016282668766,-0.0021244166358105,0.0948541639692157,1,2.421271931836544,0,184.72999572753903,178.0,178.68499755859375,1,4
1987-02-23,0.7921022034983917,4.732843511598566,1.0,3.283886932244328,0.022494633214328,0.091533466517327,1,3.031008653278224,0,183.3600006103516,175.17999267578125,182.75,0,5
1987-03-02,0.7991376398190481,5.127467600694125,1.0,3.251831664061457,0.0083643935660004,0.1004376653821337,1,3.2915396809230826,0,185.7449951171875,179.86500549316406,184.28500366210932,0,5
1987-03-09,0.7784380137778872,5.393396357054763,1.0,3.2380758661016347,-0.0060961428975438,0.0477178713856885,1,3.1368957113276683,0,186.4250030517578,181.2949981689453,183.1649932861328,0,5
1987-03-16,0.8099605892589247,5.602078698303984,1.0,3.2401379098354903,0.0357152297242615,0.0583536969712357,1,4.1077347789213565,0,190.4250030517578,181.4199981689453,189.8249969482422,0,2
1987-03-23,0.7957725014115957,5.841269436517009,1.0,3.1442054299134456,-0.0040910325430685,0.0563870810639777,1,4.12003855793323,0,191.7449951171875,188.4850006103516,189.0500030517578,0,1
1987-03-30,0.8066446195949435,5.968652208799092,1.0,3.317925672872544,0.0121449274722751,0.0460373753219247,1,4.2210162774340985,0,191.42999267578125,179.81500244140625,191.3600006103516,0,2
1987-04-06,0.7494493531777229,6.024298075433013,1.0,3.3315523189463367,-0.0161996821287573,0.0214732996271669,1,3.7821954151914543,0,192.4600067138672,187.17999267578125,188.28500366210932,0,1
1987-04-13,0.6735175949625745,5.872111908025384,1.0,3.5301864803859946,-0.024407891558539,0.0031615509661717,1,2.9576622778672963,0,188.2899932861328,179.02499389648438,183.7449951171875,0,5
1987-04-20,0.623055509744836,5.524352168959281,1.0,3.5574706343927573,-0.0185108831704816,-0.0510645619285714,1,2.4646292330838526,0,185.6849975585937,180.1750030517578,180.375,0,5
1987-04-27,0.6665999063490647,5.187352300206267,1.0,3.539265622690634,0.0297942700449098,-0.017179259340593,1,3.2339893710460923,0,186.1699981689453,177.50999450683594,185.8300018310547,0,5
1987-05-04,0.6978183229593625,5.062315904485146,1.0,3.448774847517818,0.0240847323202668,-0.0052394544926013,1,3.929879349073898,0,191.4199981689453,185.009994506836,190.3600006103516,0,2
1987-05-11,0.6617291001233357,4.964604462357757,1.0,3.405168908167924,-0.0129538751695159,-0.0019936475333599,1,0.7110876363366015,0,191.6999969482422,187.46499633789065,187.91000366210932,0,1
1987-05-18,0.5791761151265616,4.669389140550733,1.0,3.600822823600648,-0.0339364414201721,-0.011522197394993,1,1.6543001544515463,0,188.1199951171875,179.73500061035156,181.63999938964844,0,5
1987-05-25,0.6349478475606081,4.391373065144764,1.0,3.527230777595921,0.0385026625442748,0.0454913483197634,1,0.5541914132900373,0,189.8300018310547,181.63999938964844,188.7700042724609,0,5
