Date,open,high,low,close,volume
1985-09-30,110.62000274658203,112.54000091552734,109.8550033569336,110.07499694824219,613000000
1985-10-07,110.07499694824219,111.12000274658203,106.75,111.05000305175781,742000000
1985-10-14,111.05000305175781,115.33999633789062,111.05000305175781,114.31999969482422,841420000
1985-10-21,114.31999969482422,116.1050033569336,113.42500305175781,113.91000366210938,859440000
1985-10-28,113.91000366210938,116.7750015258789,113.20500183105469,116.2750015258789,841000000
1985-11-04,116.2750015258789,119.38999938964844,115.82499694824219,119.26000213623047,863840000
1985-11-11,119.26000213623047,123.0999984741211,119.18000030517578,122.17500305175781,950420000
1985-11-18,122.17500305175781,124.33499908447266,121.7300033569336,123.97000122070312,1011420000
1985-11-25,123.97000122070312,126.43499755859375,122.81500244140625,126.05999755859375,675900000
1985-12-02,126.05999755859375,129.88999938964844,124.72000122070312,126.95500183105469,1079600000
1985-12-09,126.95500183105469,132.1699981689453,126.83000183105469,132.125,1184200000
1985-12-16,132.125,133.18499755859375,130.71499633789062,132.25999450683594,1209800000
1985-12-23,132.25999450683594,132.25999450683594,129.30499267578125,131.48500061035156,585000000
1985-12-30,131.48500061035156,132.66000366210938,130.0,130.5500030517578,741020000
1986-01-06,130.5500030517578,133.88499450683594,128.05499267578125,129.56500244140625,1169280000
1986-01-13,129.56500244140625,133.60000610351562,128.6300048828125,132.77000427246094,1095580000
1986-01-20,132.77000427246094,132.7899932861328,128.4600067138672,130.1999969482422,1074260000
1986-01-27,130.2050018310547,134.1300048828125,129.7949981689453,132.9250030517578,1152600000
1986-02-03,132.9250030517578,137.48500061035156,132.9250030517578,137.4199981689453,1138000000
1986-02-10,137.39999389648438,140.6300048828125,137.30499267578125,140.16000366210938,1187800000
1986-02-17,140.16000366210938,141.23500061035156,138.94000244140625,141.14500427246094,1069000000
1986-02-24,141.1649932861328,141.8300018310547,138.6750030517578,140.4250030517578,1252600000
1986-03-03,140.4250030517578,141.77000427246094,139.56500244140625,140.7100067138672,1235800000
1986-03-10,140.7100067138672,147.4499969482422,140.7100067138672,147.0,1389800000
1986-03-17,147.0,148.78500366210938,145.57000732421875,148.0050048828125,1380400000
1986-03-24,148.0050048828125,149.05499267578125,146.2050018310547,148.375,966200000
1986-03-31,148.375,149.93499755859375,146.94000244140625,147.03500366210938,1171400000
1986-04-07,147.03500366210938,153.5399932861328,144.8300018310547,152.6649932861328,1229000000
1986-04-14,152.6649932861328,159.86000061035156,152.48500061035156,157.66000366210938,1385600000
1986-04-21,157.66000366210938,160.625,156.6300048828125,160.4600067138672,1351800000
1986-04-28,160.4600067138672,160.9499969482422,153.72500610351562,155.00999450683594,1144800000
1986-05-05,155.00999450683594,158.08999633789062,155.00999450683594,157.9149932861328,1100180000
1986-05-12,157.9149932861328,158.2550048828125,154.38999938964844,154.9949951171875,1065600000
1986-05-19,154.9949951171875,160.38999938964844,154.875,160.1649932861328,1211660000
1986-05-26,160.1649932861328,163.6199951171875,159.94000244140625,163.16000366210938,1013400000
1986-06-02,163.16000366210938,163.97999572753906,161.3699951171875,161.88499450683594,1199600000
1986-06-09,161.88499450683594,162.52999877929688,157.1750030517578,162.35499572753906,1258200000
1986-06-16,162.35499572753906,162.9250030517578,156.86500549316406,159.5850067138672,1203600000
1986-06-23,159.5850067138672,162.52000427246094,159.35499572753906,161.61500549316406,1234800000
1986-06-30,161.61500549316406,164.55999755859375,161.53500366210938,164.51499938964844,988800000
1986-07-07,164.51499938964844,164.5449981689453,152.42999267578125,152.85499572753906,1162800000
1986-07-14,152.85499572753906,152.9199981689453,145.32000732421875,147.75999450683594,1160400000
1986-07-21,147.75999450683594,148.4149932861328,146.5850067138672,148.25999450683594,975500000
1986-07-28,148.25999450683594,148.73500061035156,142.72999572753906,144.19000244140625,975920000
1986-08-04,144.19000244140625,144.19000244140625,140.17999267578125,142.2949981689453,957520000
1986-08-11,142.2949981689453,150.3000030517578,142.2949981689453,149.5749969482422,1071240000
1986-08-18,149.5749969482422,151.2550048828125,147.97999572753906,150.94500732421875,1047800000
1986-08-25,150.94500732421875,152.55499267578125,149.77499389648438,151.6999969482422,927780000
1986-09-01,151.6999969482422,152.07000732421875,148.59500122070312,149.6699981689453,816960000
1986-09-08,149.6699981689453,149.6699981689453,134.84500122070312,135.03500366210938,1221680000
1986-09-15,135.03500366210938,138.57000732421875,133.27999877929688,138.4550018310547,1033920000
1986-09-22,138.52000427246094,141.05999755859375,136.49000549316406,137.5850067138672,967460000
1986-09-29,137.5850067138672,139.3699951171875,134.81500244140625,138.55499267578125,950020000
1986-10-06,138.65499877929688,140.21499633789062,137.5449981689453,139.8699951171875,858080000
1986-10-13,139.8699951171875,142.47999572753906,139.625,141.19500732421875,793160000
1986-10-20,141.19500732421875,142.75,139.3800048828125,141.96499633789062,1005640000
1986-10-27,141.96499633789062,145.17999267578125,141.25999450683594,144.47999572753906,1065220000
1986-11-03,144.47999572753906,146.68499755859375,144.1199951171875,144.91000366210938,1260640000
1986-11-10,144.91000366210938,145.9149932861328,142.86000061035156,143.5050048828125,1047260000
1986-11-17,143.5050048828125,144.02000427246094,138.9550018310547,142.89999389648438,1084420000
1986-11-24,142.89999389648438,147.9600067138672,142.77000427246094,147.94000244140625,757220000
1986-12-01,147.94000244140625,150.85000610351562,145.6300048828125,149.0449981689453,1248860000
1986-12-08,149.0449981689453,149.0449981689453,144.75,144.97999572753906,1148600000
1986-12-15,144.97999572753906,144.97999572753906,142.53500366210938,143.77000427246094,1294000000
1986-12-22,143.77000427246094,144.38999938964844,142.3249969482422,142.93499755859375,788120000
1986-12-29,142.93499755859375,143.03500366210938,140.94500732421875,142.86000061035156,864640000
1987-01-05,142.86000061035156,157.38499450683594,142.86000061035156,156.99000549316406,1409400000
1987-01-12,156.99000549316406,165.0500030517578,156.60000610351562,162.51499938964844,1628800000
1987-01-19,162.51499938964844,170.27499389648438,161.71499633789062,166.76499938964844,1795600000
1987-01-26,166.76499938964844,168.875,163.8800048828125,166.6750030517578,1409000000
1987-02-02,166.7050018310547,175.48500061035156,166.5800018310547,174.6300048828125,1706000000
1987-02-09,173.22500610351562,179.30499267578125,171.24000549316406,179.06500244140625,1508600000
1987-02-16,179.06500244140625,184.72999572753906,178.0,178.68499755859375,1372600000
1987-02-23,178.68499755859375,183.36000061035156,175.17999267578125,182.75,1472200000
1987-03-02,182.75,185.7449951171875,179.86500549316406,184.28500366210938,1498400000
1987-03-09,184.28500366210938,186.4250030517578,181.2949981689453,183.1649932861328,1461400000
1987-03-16,183.1649932861328,190.4250030517578,181.4199981689453,189.8249969482422,1540000000
1987-03-23,189.8249969482422,191.7449951171875,188.48500061035156,189.0500030517578,1545800000
1987-03-30,189.0500030517578,191.42999267578125,179.81500244140625,191.36000061035156,1492400000
1987-04-06,191.36000061035156,192.4600067138672,187.17999267578125,188.28500366210938,1561200000
1987-04-13,188.28500366210938,188.2899932861328,179.02499389648438,183.7449951171875,1170400000
1987-04-20,183.7449951171875,185.68499755859375,180.1750030517578,180.375,1286600000
1987-04-27,180.375,186.1699981689453,177.50999450683594,185.8300018310547,1476400000
1987-05-04,185.8300018310547,191.4199981689453,185.00999450683594,190.36000061035156,1460400000
1987-05-11,190.36000061035156,191.6999969482422,187.46499633789062,187.91000366210938,1396600000
