Datetime,rsi_15m,macd_pct_15m,ema_cross_15m,atr_pct_15m,ret_1,ret_5,smc_bias_15m,zone_dist_atr,at_zone,dxy_return_1d,vix_level,tnx_level,high,low,close,label,label_bars
2026-04-17 19:00:00,0.5209061396583834,0.1259313286117547,1.0,0.2267694587100591,-0.0003074494976864,-0.001331599010605,1,0.1762961536274952,1,0.0,0.3495999908447265,0.4245999813079834,4880.10009765625,4875.2001953125,4878.10009765625,0,4
2026-04-17 19:15:00,0.5223603802377346,0.1100259332353943,1.0,0.2165664253739702,4.093867272203511e-05,-0.0009220273327574,1,0.2034975185683561,1,0.0,0.3495999908447265,0.4245999813079834,4879.7001953125,4875.60009765625,4878.2998046875,0,3
2026-04-17 19:30:00,0.5454271029250546,0.1013196505836031,1.0,0.2091641948363744,0.0006352854808184,-0.0003072416951148,1,0.5141946719015226,0,0.0,0.3495999908447265,0.4245999813079834,4882.60009765625,4877.0,4881.39990234375,0,2
2026-04-17 19:45:00,0.4963038285313687,0.0838583005508142,1.0,0.2058860411675745,-0.0012093806684294,-0.0017009020840834,1,0.0647443744943747,1,0.0,0.3495999908447265,0.4245999813079834,4881.39990234375,4873.60009765625,4875.5,0,1
2026-04-17 20:00:00,0.4323369296542232,0.054501009049289,1.0,0.2078250290728541,-0.0018476704086261,-0.0026882764212015,1,0.9541317343716345,0,0.0,0.3495999908447265,0.4245999813079834,4876.2998046875,4865.2001953125,4866.5,0,2
2026-04-17 20:15:00,0.436680775674285,0.0315740422665212,1.0,0.2039676326246673,0.0001027379669071,-0.0022780889566078,1,0.9217090620923236,0,0.0,0.3495999908447265,0.4245999813079834,4872.7001953125,4865.2001953125,4867.0,0,1
2026-04-17 20:30:00,0.3727832412579344,-0.0037980848290218,1.0,0.2095120341645256,-0.0021391061345461,-0.004458133763876,1,1.921326200875368,0,0.0,0.3495999908447265,0.4245999813079834,4868.0,4854.60009765625,4856.60009765625,1,1
2026-04-17 20:45:00,0.5348783307929844,0.0062281724750595,1.0,0.2398867528696959,0.0047246445888404,-0.000368774655854,1,0.2947495723387425,1,0.0,0.3495999908447265,0.4245999813079834,4879.60009765625,4848.0,4879.60009765625,0,1
2026-04-19 22:00:00,0.2901556935632225,-0.1013962623450714,1.0,0.3413671875186783,-0.0143869957280244,-0.013546389715449,-1,0.5085352287665927,0,0.0,0.3495999908447265,0.4245999813079834,4815.0,4801.89990234375,4809.89990234375,0,4
2026-04-19 22:15:00,0.2808257806665913,-0.1926152541864839,1.0,0.3343884171682989,-0.0009775680664336,-0.0126762873732566,-1,0.2271682235653717,1,0.0,0.3495999908447265,0.4245999813079834,4815.0,4803.5,4805.2001953125,0,4
